Profession,Total
Accountant,64
Acupuncturist,5
Attorney-at-Law,590
Architect,60
Auctioneer,15
Audiologist,1
Builder and/or Contractor,12
Cardiac Technologist,5
Chiropodist,1
Chiropractor,8
Clinical Prosthetist,1
Clinical Psychologist,8
Counselling Psychologist,3
Dental Auxiliary,9
Dental Hygenist,6
Dental Practitioner,65
Dental Technician,9
Diagnostic Radiographer,19
Dietician,5
Draughtsman,200
Embalmer,6
Emergency Medical Technician,63
Engineer,157
Funeral Director/Undertaker,45
Land Surveyor,41
Medical Laboratory Technician ,68
Medical Practitioner,477
Nuclear Medical Technologist,1
Nutritionist,1
Occupational Therapist,13
Ophthalmic Dispescer,8
Optometrist,10
Orthoptist,1
Osteopath,4
Paramedic,24
Quantity Surveyor,7
Physiotherapist,42
Podiatrist,4
Psychologist,5
Real Estate Agent,217
Real Estate Company,13
Reflexologist,6
Speech Therapist,5
Therapeutic Radiographer,4
Town Planner,6
Veterinary Surgeon,25
