Profession,Total
Accountant,85
Actuary,4
Acupuncturist,4
Attorney-at-Law,644
Architect,72
Auctioneer,15
Builder and/or Contractor,10
Cardiac Technologist,2
Chiropodist,1
Chiropractor,8
Clinical Prosthetist,1
Clinical Psychologist,12
Counseling Psychologist,4
Dental Auxiliary,8
Dental Hygienist,19
Dental Practitioner,79
Dental Technician,11
Diagnostic Radiographer,33
Draughtsman,253
Educational Psychologist,1
Embalmer,12
Emergency Medical Technician,6
Emergency Medical Dispatcher,85
Engineer,185
Funeral Director/Undertaker,44
Land Surveyor,54
Medical Laboratory Technician,98
Medical Practitioner,558
Nuclear Medical Technologist,1
Nutritionist,1
Occupational Therapist,10
Ophthalmic Dispenser,11
Optometrist,14
Orthoptist,1
Orthotist,2
Osteopath,5
Paramedic,29
Pharmacist,281
Physiotherapist,54
Prosthetist,2
Psychologist,7
Quantity Surveyor,9
Real Estate Agent,251
Real Estate Company,31
Reflexologist,9
Speech Therapist,9
Therapeutic Radiographer,4
Town Planner,8
Veterinary Surgeon,31
